Hvulgare_AK369515	90b63634718f12371ce6ce2e034d97e6	1371	Pfam	PF00931	NB-ARC domain	765	819	5.0E-7	T	31-05-2017	IPR002182	NB-ARC
Hvulgare_AK369515	90b63634718f12371ce6ce2e034d97e6	1371	Pfam	PF00931	NB-ARC domain	591	732	5.4E-16	T	31-05-2017	IPR002182	NB-ARC
Hvulgare_AK369515	90b63634718f12371ce6ce2e034d97e6	1371	SUPERFAMILY	SSF52058		856	1253	1.12E-19	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Hvulgare_AK369515	90b63634718f12371ce6ce2e034d97e6	1371	Pfam	PF00069	Protein kinase domain	64	323	2.0E-30	T	31-05-2017	IPR000719	Protein kinase domain
Hvulgare_AK369515	90b63634718f12371ce6ce2e034d97e6	1371	SUPERFAMILY	SSF56112		61	326	1.54E-54	T	31-05-2017	IPR011009	Protein kinase-like domain
Hvulgare_AK369515	90b63634718f12371ce6ce2e034d97e6	1371	SUPERFAMILY	SSF52540		589	790	6.28E-28	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Hvulgare_MLOC_64580.5	c19ea5a9c4605c9040272055e65b7470	1343	Pfam	PF04570	zinc-finger of the FCS-type, C2-C2	1258	1296	7.1E-14	T	31-05-2017	IPR007650	Zf-FLZ domain
Hvulgare_MLOC_64580.5	c19ea5a9c4605c9040272055e65b7470	1343	SUPERFAMILY	SSF52540		359	626	1.89E-51	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Hvulgare_MLOC_64580.5	c19ea5a9c4605c9040272055e65b7470	1343	ProSiteProfiles	PS50011	Protein kinase domain profile.	1	125	13.687	T	31-05-2017	IPR000719	Protein kinase domain
Hvulgare_MLOC_64580.5	c19ea5a9c4605c9040272055e65b7470	1343	SUPERFAMILY	SSF56112		2	127	5.2E-20	T	31-05-2017	IPR011009	Protein kinase-like domain
Hvulgare_MLOC_64580.5	c19ea5a9c4605c9040272055e65b7470	1343	Pfam	PF00931	NB-ARC domain	370	653	4.2E-53	T	31-05-2017	IPR002182	NB-ARC
Hvulgare_MLOC_64580.5	c19ea5a9c4605c9040272055e65b7470	1343	SUPERFAMILY	SSF52047		726	1074	4.0E-21	T	31-05-2017
Hvulgare_MLOC_64580.5	c19ea5a9c4605c9040272055e65b7470	1343	Pfam	PF00069	Protein kinase domain	3	116	8.4E-12	T	31-05-2017	IPR000719	Protein kinase domain
Taestivum_TRIAE_CS42_2BS_TGACv1_146545_AA0467920.2	dc9930a81f43d02974811cd95fdf3066	1564	SUPERFAMILY	SSF52540		249	501	2.04E-47	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_2BS_TGACv1_146545_AA0467920.2	dc9930a81f43d02974811cd95fdf3066	1564	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	1038	1060	-	T	31-05-2017	IPR017441	Protein kinase, ATP binding site
Taestivum_TRIAE_CS42_2BS_TGACv1_146545_AA0467920.2	dc9930a81f43d02974811cd95fdf3066	1564	Pfam	PF00069	Protein kinase domain	1033	1312	3.2E-42	T	31-05-2017	IPR000719	Protein kinase domain
Taestivum_TRIAE_CS42_2BS_TGACv1_146545_AA0467920.2	dc9930a81f43d02974811cd95fdf3066	1564	SUPERFAMILY	SSF56112		1015	1315	2.28E-62	T	31-05-2017	IPR011009	Protein kinase-like domain
Taestivum_TRIAE_CS42_2BS_TGACv1_146545_AA0467920.2	dc9930a81f43d02974811cd95fdf3066	1564	Coils	Coil		1307	1327	-	T	31-05-2017
Taestivum_TRIAE_CS42_2BS_TGACv1_146545_AA0467920.2	dc9930a81f43d02974811cd95fdf3066	1564	ProSiteProfiles	PS50011	Protein kinase domain profile.	1032	1315	33.658	T	31-05-2017	IPR000719	Protein kinase domain
Taestivum_TRIAE_CS42_2BS_TGACv1_146545_AA0467920.2	dc9930a81f43d02974811cd95fdf3066	1564	Coils	Coil		1331	1351	-	T	31-05-2017
Taestivum_TRIAE_CS42_2BS_TGACv1_146545_AA0467920.2	dc9930a81f43d02974811cd95fdf3066	1564	Pfam	PF00931	NB-ARC domain	250	526	1.5E-49	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_2BS_TGACv1_146545_AA0467920.2	dc9930a81f43d02974811cd95fdf3066	1564	SUPERFAMILY	SSF52058		566	866	1.7E-17	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_2BS_TGACv1_146545_AA0467920.2	dc9930a81f43d02974811cd95fdf3066	1564	SUPERFAMILY	SSF55008		1	71	4.71E-5	T	31-05-2017	IPR006121	Heavy metal-associated domain, HMA
Taestivum_TRIAE_CS42_4BS_TGACv1_329165_AA1098490.1	a6c7ba7fa641139a0cb58628f7a1ff9e	1290	SUPERFAMILY	SSF56112		1127	1265	3.27E-34	T	31-05-2017	IPR011009	Protein kinase-like domain
Taestivum_TRIAE_CS42_4BS_TGACv1_329165_AA1098490.1	a6c7ba7fa641139a0cb58628f7a1ff9e	1290	Coils	Coil		47	67	-	T	31-05-2017
Taestivum_TRIAE_CS42_4BS_TGACv1_329165_AA1098490.1	a6c7ba7fa641139a0cb58628f7a1ff9e	1290	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	1147	1170	-	T	31-05-2017	IPR017441	Protein kinase, ATP binding site
Taestivum_TRIAE_CS42_4BS_TGACv1_329165_AA1098490.1	a6c7ba7fa641139a0cb58628f7a1ff9e	1290	Pfam	PF00069	Protein kinase domain	1142	1265	1.3E-27	T	31-05-2017	IPR000719	Protein kinase domain
Taestivum_TRIAE_CS42_4BS_TGACv1_329165_AA1098490.1	a6c7ba7fa641139a0cb58628f7a1ff9e	1290	SUPERFAMILY	SSF52058		492	883	5.1E-22	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_4BS_TGACv1_329165_AA1098490.1	a6c7ba7fa641139a0cb58628f7a1ff9e	1290	ProSiteProfiles	PS50011	Protein kinase domain profile.	1141	1290	23.467	T	31-05-2017	IPR000719	Protein kinase domain
Taestivum_TRIAE_CS42_4BS_TGACv1_329165_AA1098490.1	a6c7ba7fa641139a0cb58628f7a1ff9e	1290	SUPERFAMILY	SSF52540		178	443	3.88E-51	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_4BS_TGACv1_329165_AA1098490.1	a6c7ba7fa641139a0cb58628f7a1ff9e	1290	Pfam	PF00931	NB-ARC domain	189	470	5.5E-56	T	31-05-2017	IPR002182	NB-ARC
Bdistachyon_Bradi1g78926.1.p	c392568e666e7a7c9f17541ab5694d04	1502	SUPERFAMILY	SSF52540		257	506	4.31E-46	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Bdistachyon_Bradi1g78926.1.p	c392568e666e7a7c9f17541ab5694d04	1502	SUPERFAMILY	SSF52058		1073	1112	2.04E-13	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Bdistachyon_Bradi1g78926.1.p	c392568e666e7a7c9f17541ab5694d04	1502	SUPERFAMILY	SSF52058		1141	1168	2.04E-13	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Bdistachyon_Bradi1g78926.1.p	c392568e666e7a7c9f17541ab5694d04	1502	SUPERFAMILY	SSF52058		1264	1321	2.04E-13	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Bdistachyon_Bradi1g78926.1.p	c392568e666e7a7c9f17541ab5694d04	1502	SUPERFAMILY	SSF52058		1420	1479	2.04E-13	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Bdistachyon_Bradi1g78926.1.p	c392568e666e7a7c9f17541ab5694d04	1502	Pfam	PF00931	NB-ARC domain	271	534	2.1E-41	T	31-05-2017	IPR002182	NB-ARC
Bdistachyon_Bradi1g78926.1.p	c392568e666e7a7c9f17541ab5694d04	1502	SUPERFAMILY	SSF52058		571	960	5.78E-23	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Sbicolor_Sobic.002G168400.1.p	f7e5372397d14c84db0065b3158b5394	1104	ProSiteProfiles	PS50888	Myc-type, basic helix-loop-helix (bHLH) domain profile.	1032	1082	14.024	T	31-05-2017	IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
Sbicolor_Sobic.002G168400.1.p	f7e5372397d14c84db0065b3158b5394	1104	SUPERFAMILY	SSF52540		173	442	1.19E-48	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Sbicolor_Sobic.002G168400.1.p	f7e5372397d14c84db0065b3158b5394	1104	SUPERFAMILY	SSF47459		1036	1096	4.45E-13	T	31-05-2017	IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
Sbicolor_Sobic.002G168400.1.p	f7e5372397d14c84db0065b3158b5394	1104	Coils	Coil		1072	1099	-	T	31-05-2017
Sbicolor_Sobic.002G168400.1.p	f7e5372397d14c84db0065b3158b5394	1104	SUPERFAMILY	SSF52058		539	908	2.82E-20	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Sbicolor_Sobic.002G168400.1.p	f7e5372397d14c84db0065b3158b5394	1104	Pfam	PF00010	Helix-loop-helix DNA-binding domain	1038	1083	1.5E-7	T	31-05-2017	IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
Sbicolor_Sobic.002G168400.1.p	f7e5372397d14c84db0065b3158b5394	1104	ProSiteProfiles	PS51450	Leucine-rich repeat profile.	683	704	7.227	T	31-05-2017	IPR001611	Leucine-rich repeat
Sbicolor_Sobic.002G168400.1.p	f7e5372397d14c84db0065b3158b5394	1104	Pfam	PF00931	NB-ARC domain	187	470	8.7E-47	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_7BL_TGACv1_578754_AA1899580.2	d0c0123ad155507dcadb747667ce6db4	1067	SUPERFAMILY	SSF52058		503	888	1.16E-18	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_7BL_TGACv1_578754_AA1899580.2	d0c0123ad155507dcadb747667ce6db4	1067	Pfam	PF00931	NB-ARC domain	202	465	1.3E-45	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_7BL_TGACv1_578754_AA1899580.2	d0c0123ad155507dcadb747667ce6db4	1067	SUPERFAMILY	SSF52540		187	438	3.82E-50	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Atauschii_EMT25585	1eb9df0b445da606037e3c7659d42a7d	1275	Pfam	PF05627	Cleavage site for pathogenic type III effector avirulence factor Avr	1196	1230	7.9E-12	T	31-05-2017	IPR008700	RIN4, pathogenic type III effector avirulence factor Avr cleavage site
Atauschii_EMT25585	1eb9df0b445da606037e3c7659d42a7d	1275	SUPERFAMILY	SSF52058		477	860	1.09E-23	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Atauschii_EMT25585	1eb9df0b445da606037e3c7659d42a7d	1275	Coils	Coil		27	47	-	T	31-05-2017
Atauschii_EMT25585	1eb9df0b445da606037e3c7659d42a7d	1275	SUPERFAMILY	SSF52540		146	412	2.98E-48	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Atauschii_EMT25585	1eb9df0b445da606037e3c7659d42a7d	1275	Pfam	PF00931	NB-ARC domain	164	439	1.5E-43	T	31-05-2017	IPR002182	NB-ARC
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	ProSiteProfiles	PS51450	Leucine-rich repeat profile.	772	792	4.909	T	31-05-2017	IPR001611	Leucine-rich repeat
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	SUPERFAMILY	SSF118290		1483	1549	7.19E-17	T	31-05-2017	IPR003657	WRKY domain
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	ProSiteProfiles	PS51005	NAC domain profile.	1137	1288	20.011	T	31-05-2017	IPR003441	NAC domain
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	ProSiteProfiles	PS51450	Leucine-rich repeat profile.	833	854	7.227	T	31-05-2017	IPR001611	Leucine-rich repeat
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	Pfam	PF00931	NB-ARC domain	352	620	3.4E-49	T	31-05-2017	IPR002182	NB-ARC
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	SUPERFAMILY	SSF52058		687	1058	4.76E-21	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	SUPERFAMILY	SSF52540		321	592	1.56E-48	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	ProSiteProfiles	PS50811	WRKY domain profile.	1487	1550	15.755	T	31-05-2017	IPR003657	WRKY domain
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	Pfam	PF03106	WRKY DNA -binding domain	1487	1548	1.8E-19	T	31-05-2017	IPR003657	WRKY domain
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	Pfam	PF03106	WRKY DNA -binding domain	1354	1412	3.2E-22	T	31-05-2017	IPR003657	WRKY domain
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	Pfam	PF02365	No apical meristem (NAM) protein	1154	1260	4.4E-5	T	31-05-2017	IPR003441	NAC domain
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	SUPERFAMILY	SSF118290		1349	1413	5.89E-22	T	31-05-2017	IPR003657	WRKY domain
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	ProSiteProfiles	PS50811	WRKY domain profile.	1354	1414	21.264	T	31-05-2017	IPR003657	WRKY domain
Sbicolor_Sobic.002G168300.1.p	2e93e87edfb3310fbd7afa2f2353eb3b	1584	SUPERFAMILY	SSF101941		1152	1287	3.92E-18	T	31-05-2017	IPR003441	NAC domain
Turartu_TRIUR3_11746-P1	eb831f54953e258d35cd75ec777ad3a1	1021	SUPERFAMILY	SSF52058		497	764	1.97E-6	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Turartu_TRIUR3_11746-P1	eb831f54953e258d35cd75ec777ad3a1	1021	SUPERFAMILY	SSF52540		206	454	1.01E-50	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Turartu_TRIUR3_11746-P1	eb831f54953e258d35cd75ec777ad3a1	1021	Pfam	PF00931	NB-ARC domain	205	479	3.4E-52	T	31-05-2017	IPR002182	NB-ARC
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	SUPERFAMILY	SSF51101		1353	1500	2.88E-39	T	31-05-2017	IPR001229	Jacalin-like lectin domain
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	ProSiteProfiles	PS51752	Jacalin-type lectin domain profile.	1197	1344	35.039	T	31-05-2017	IPR001229	Jacalin-like lectin domain
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	Pfam	PF01419	Jacalin-like lectin domain	1546	1666	2.5E-18	T	31-05-2017	IPR001229	Jacalin-like lectin domain
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	Pfam	PF01419	Jacalin-like lectin domain	1217	1344	2.2E-24	T	31-05-2017	IPR001229	Jacalin-like lectin domain
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	Pfam	PF01419	Jacalin-like lectin domain	1372	1500	1.9E-19	T	31-05-2017	IPR001229	Jacalin-like lectin domain
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	SUPERFAMILY	SSF56112		1045	1186	5.12E-6	T	31-05-2017	IPR011009	Protein kinase-like domain
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	SUPERFAMILY	SSF52058		464	859	6.8E-19	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	Pfam	PF00931	NB-ARC domain	146	425	6.5E-51	T	31-05-2017	IPR002182	NB-ARC
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	SUPERFAMILY	SSF52540		138	399	2.87E-50	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	SUPERFAMILY	SSF51101		1197	1344	4.32E-38	T	31-05-2017	IPR001229	Jacalin-like lectin domain
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	ProSiteProfiles	PS51752	Jacalin-type lectin domain profile.	1517	1667	25.556	T	31-05-2017	IPR001229	Jacalin-like lectin domain
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	SUPERFAMILY	SSF51101		1516	1665	2.88E-32	T	31-05-2017	IPR001229	Jacalin-like lectin domain
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	Coils	Coil		28	48	-	T	31-05-2017
Bdistachyon_Bradi4g13987.1.p	09c9014f728b7d57d656a2db578beaa5	1668	ProSiteProfiles	PS51752	Jacalin-type lectin domain profile.	1353	1500	30.64	T	31-05-2017	IPR001229	Jacalin-like lectin domain
Atauschii_EMT16053	88d1f09020f435d0f41cfd7b647f685a	1009	SUPERFAMILY	SSF52047		578	893	6.04E-19	T	31-05-2017
Atauschii_EMT16053	88d1f09020f435d0f41cfd7b647f685a	1009	Pfam	PF00931	NB-ARC domain	219	487	5.4E-49	T	31-05-2017	IPR002182	NB-ARC
Atauschii_EMT16053	88d1f09020f435d0f41cfd7b647f685a	1009	SUPERFAMILY	SSF52540		204	461	1.06E-45	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_5AL_TGACv1_374266_AA1195550.1	975f2e0fe7a141b4cd660debe77af711	1482	Pfam	PF12796	Ankyrin repeats (3 copies)	142	200	2.8E-9	T	31-05-2017	IPR020683	Ankyrin repeat-containing domain
Taestivum_TRIAE_CS42_5AL_TGACv1_374266_AA1195550.1	975f2e0fe7a141b4cd660debe77af711	1482	SUPERFAMILY	SSF118290		1327	1392	1.06E-23	T	31-05-2017	IPR003657	WRKY domain
Taestivum_TRIAE_CS42_5AL_TGACv1_374266_AA1195550.1	975f2e0fe7a141b4cd660debe77af711	1482	SUPERFAMILY	SSF48403		5	269	1.42E-41	T	31-05-2017	IPR020683	Ankyrin repeat-containing domain
Taestivum_TRIAE_CS42_5AL_TGACv1_374266_AA1195550.1	975f2e0fe7a141b4cd660debe77af711	1482	ProSiteProfiles	PS50297	Ankyrin repeat region circular profile.	1	269	42.097	T	31-05-2017	IPR020683	Ankyrin repeat-containing domain
Taestivum_TRIAE_CS42_5AL_TGACv1_374266_AA1195550.1	975f2e0fe7a141b4cd660debe77af711	1482	SUPERFAMILY	SSF52058		823	1190	6.46E-22	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_5AL_TGACv1_374266_AA1195550.1	975f2e0fe7a141b4cd660debe77af711	1482	SUPERFAMILY	SSF52540		485	758	8.33E-54	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_5AL_TGACv1_374266_AA1195550.1	975f2e0fe7a141b4cd660debe77af711	1482	ProSiteProfiles	PS50088	Ankyrin repeat profile.	143	166	10.766	T	31-05-2017	IPR002110	Ankyrin repeat
Taestivum_TRIAE_CS42_5AL_TGACv1_374266_AA1195550.1	975f2e0fe7a141b4cd660debe77af711	1482	Pfam	PF03106	WRKY DNA -binding domain	1333	1392	7.2E-25	T	31-05-2017	IPR003657	WRKY domain
Taestivum_TRIAE_CS42_5AL_TGACv1_374266_AA1195550.1	975f2e0fe7a141b4cd660debe77af711	1482	ProSiteProfiles	PS50811	WRKY domain profile.	1327	1390	22.159	T	31-05-2017	IPR003657	WRKY domain
Taestivum_TRIAE_CS42_5AL_TGACv1_374266_AA1195550.1	975f2e0fe7a141b4cd660debe77af711	1482	Pfam	PF00931	NB-ARC domain	505	783	4.0E-54	T	31-05-2017	IPR002182	NB-ARC
Sitalica_Si028710m	14ecfa45453847a0d419cea315ffc2ac	1290	SUPERFAMILY	SSF52540		182	450	1.62E-50	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Sitalica_Si028710m	14ecfa45453847a0d419cea315ffc2ac	1290	SUPERFAMILY	SSF52058		548	912	1.84E-18	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Sitalica_Si028710m	14ecfa45453847a0d419cea315ffc2ac	1290	SUPERFAMILY	SSF118290		1140	1206	1.12E-16	T	31-05-2017	IPR003657	WRKY domain
Sitalica_Si028710m	14ecfa45453847a0d419cea315ffc2ac	1290	SUPERFAMILY	SSF118290		1029	1091	1.23E-23	T	31-05-2017	IPR003657	WRKY domain
Sitalica_Si028710m	14ecfa45453847a0d419cea315ffc2ac	1290	ProSiteProfiles	PS50811	WRKY domain profile.	1145	1202	18.2	T	31-05-2017	IPR003657	WRKY domain
Sitalica_Si028710m	14ecfa45453847a0d419cea315ffc2ac	1290	Pfam	PF00931	NB-ARC domain	195	476	5.9E-48	T	31-05-2017	IPR002182	NB-ARC
Sitalica_Si028710m	14ecfa45453847a0d419cea315ffc2ac	1290	Pfam	PF03106	WRKY DNA -binding domain	1030	1090	6.5E-25	T	31-05-2017	IPR003657	WRKY domain
Sitalica_Si028710m	14ecfa45453847a0d419cea315ffc2ac	1290	Pfam	PF03106	WRKY DNA -binding domain	1145	1205	6.2E-19	T	31-05-2017	IPR003657	WRKY domain
Sitalica_Si028710m	14ecfa45453847a0d419cea315ffc2ac	1290	ProSiteProfiles	PS50811	WRKY domain profile.	1024	1092	22.435	T	31-05-2017	IPR003657	WRKY domain
Hvulgare_AK370199	1a5eaef4c03daf8345ef314c1ea714b9	1344	SUPERFAMILY	SSF52058		484	875	1.63E-19	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Hvulgare_AK370199	1a5eaef4c03daf8345ef314c1ea714b9	1344	SUPERFAMILY	SSF52540		164	419	3.62E-49	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Hvulgare_AK370199	1a5eaef4c03daf8345ef314c1ea714b9	1344	SUPERFAMILY	SSF56112		948	1274	4.32E-71	T	31-05-2017	IPR011009	Protein kinase-like domain
Hvulgare_AK370199	1a5eaef4c03daf8345ef314c1ea714b9	1344	Pfam	PF00069	Protein kinase domain	971	1250	9.4E-61	T	31-05-2017	IPR000719	Protein kinase domain
Hvulgare_AK370199	1a5eaef4c03daf8345ef314c1ea714b9	1344	Pfam	PF00931	NB-ARC domain	185	445	2.0E-47	T	31-05-2017	IPR002182	NB-ARC
Hvulgare_AK370199	1a5eaef4c03daf8345ef314c1ea714b9	1344	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	1086	1098	-	T	31-05-2017	IPR008271	Serine/threonine-protein kinase, active site
Hvulgare_AK370199	1a5eaef4c03daf8345ef314c1ea714b9	1344	ProSiteProfiles	PS50011	Protein kinase domain profile.	971	1250	42.449	T	31-05-2017	IPR000719	Protein kinase domain
Taestivum_TRIAE_CS42_1DS_TGACv1_080161_AA0241890.2	6a70c277b6ec458dd2ed232fee86cea1	1764	SUPERFAMILY	SSF52540		245	516	7.89E-50	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_1DS_TGACv1_080161_AA0241890.2	6a70c277b6ec458dd2ed232fee86cea1	1764	Coils	Coil		1675	1695	-	T	31-05-2017
Taestivum_TRIAE_CS42_1DS_TGACv1_080161_AA0241890.2	6a70c277b6ec458dd2ed232fee86cea1	1764	Pfam	PF03081	Exo70 exocyst complex subunit	1404	1755	1.1E-107	T	31-05-2017	IPR004140	Exocyst complex component Exo70
Taestivum_TRIAE_CS42_1DS_TGACv1_080161_AA0241890.2	6a70c277b6ec458dd2ed232fee86cea1	1764	SUPERFAMILY	SSF74788		1227	1263	1.2E-128	T	31-05-2017	IPR016159	Cullin repeat-like-containing domain
Taestivum_TRIAE_CS42_1DS_TGACv1_080161_AA0241890.2	6a70c277b6ec458dd2ed232fee86cea1	1764	SUPERFAMILY	SSF74788		1330	1759	1.2E-128	T	31-05-2017	IPR016159	Cullin repeat-like-containing domain
Taestivum_TRIAE_CS42_1DS_TGACv1_080161_AA0241890.2	6a70c277b6ec458dd2ed232fee86cea1	1764	Pfam	PF00931	NB-ARC domain	251	542	1.9E-45	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_1DS_TGACv1_080161_AA0241890.2	6a70c277b6ec458dd2ed232fee86cea1	1764	Coils	Coil		102	122	-	T	31-05-2017
Taestivum_TRIAE_CS42_1DS_TGACv1_080161_AA0241890.2	6a70c277b6ec458dd2ed232fee86cea1	1764	SUPERFAMILY	SSF52047		698	964	3.3E-16	T	31-05-2017
Turartu_TRIUR3_20899-P1	95498ad11d3394124d04d94e9d6f68e8	1273	Pfam	PF00931	NB-ARC domain	179	461	1.3E-54	T	31-05-2017	IPR002182	NB-ARC
Turartu_TRIUR3_20899-P1	95498ad11d3394124d04d94e9d6f68e8	1273	Coils	Coil		37	57	-	T	31-05-2017
Turartu_TRIUR3_20899-P1	95498ad11d3394124d04d94e9d6f68e8	1273	SUPERFAMILY	SSF52058		498	889	1.26E-20	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Turartu_TRIUR3_20899-P1	95498ad11d3394124d04d94e9d6f68e8	1273	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	1140	1163	-	T	31-05-2017	IPR017441	Protein kinase, ATP binding site
Turartu_TRIUR3_20899-P1	95498ad11d3394124d04d94e9d6f68e8	1273	Pfam	PF00069	Protein kinase domain	1135	1259	7.6E-27	T	31-05-2017	IPR000719	Protein kinase domain
Turartu_TRIUR3_20899-P1	95498ad11d3394124d04d94e9d6f68e8	1273	SUPERFAMILY	SSF52540		168	433	3.45E-51	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Turartu_TRIUR3_20899-P1	95498ad11d3394124d04d94e9d6f68e8	1273	ProSiteProfiles	PS50011	Protein kinase domain profile.	1134	1273	23.807	T	31-05-2017	IPR000719	Protein kinase domain
Turartu_TRIUR3_20899-P1	95498ad11d3394124d04d94e9d6f68e8	1273	SUPERFAMILY	SSF56112		1119	1259	1.24E-34	T	31-05-2017	IPR011009	Protein kinase-like domain
Taestivum_TRIAE_CS42_7AS_TGACv1_569068_AA1806240.1	91d974aff968e16f456a911c3683df32	881	SUPERFAMILY	SSF46689		12	110	2.33E-27	T	31-05-2017	IPR009057	Homeodomain-like
Taestivum_TRIAE_CS42_7AS_TGACv1_569068_AA1806240.1	91d974aff968e16f456a911c3683df32	881	SUPERFAMILY	SSF52540		505	787	4.4E-54	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
